"Año","Mes","Comunidad autónoma","Provincia","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"Año 2003","Enero","Andalucía","Almería","1.0","0.0"
"Año 2003","Enero","Andalucía","Granada","1.0","0.0"
"Año 2003","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2003","Enero","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2003","Enero","Cataluña","Barcelona","3.0","0.0"
"Año 2003","Enero","La Rioja","La Rioja","1.0","0.0"
"Año 2003","Febrero","Andalucía","Málaga","1.0","0.0"
"Año 2003","Febrero","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Febrero","Galicia","A Coruña","1.0","0.0"
"Año 2003","Febrero","La Rioja","La Rioja","1.0","0.0"
"Año 2003","Marzo","Andalucía","Cádiz","1.0","0.0"
"Año 2003","Marzo","Andalucía","Jaén","2.0","0.0"
"Año 2003","Marzo","Galicia","A Coruña","1.0","0.0"
"Año 2003","Marzo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Marzo","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Abril","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2003","Abril","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Abril","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2003","Mayo","Aragón","Teruel","1.0","0.0"
"Año 2003","Mayo","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2003","Mayo","Cataluña","Girona","1.0","0.0"
"Año 2003","Mayo","Cataluña","Tarragona","1.0","0.0"
"Año 2003","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Mayo","Galicia","Pontevedra","1.0","0.0"
"Año 2003","Junio","Aragón","Zaragoza","1.0","0.0"
"Año 2003","Junio","Principado de Asturias","Asturias","1.0","0.0"
"Año 2003","Junio","Castilla y León","Salamanca","1.0","0.0"
"Año 2003","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Junio","Cataluña","Lleida","1.0","0.0"
"Año 2003","Junio","Galicia","A Coruña","1.0","0.0"
"Año 2003","Junio","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Junio","Ceuta","Ceuta","1.0","0.0"
"Año 2003","Julio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Julio","Cantabria","Cantabria","1.0","0.0"
"Año 2003","Julio","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2003","Julio","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Julio","Cataluña","Girona","1.0","0.0"
"Año 2003","Julio","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2003","Julio","Galicia","Pontevedra","1.0","0.0"
"Año 2003","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Agosto","Illes Balears","Illes Balears","2.0","0.0"
"Año 2003","Agosto","Canarias","Santa Cruz de Tenerife","2.0","0.0"
"Año 2003","Agosto","Castilla y León","Valladolid","1.0","0.0"
"Año 2003","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2003","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2003","Septiembre","Andalucía","Jaén","1.0","0.0"
"Año 2003","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Septiembre","Principado de Asturias","Asturias","1.0","0.0"
"Año 2003","Septiembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Octubre","Extremadura","Badajoz","1.0","0.0"
"Año 2003","Octubre","Región de Murcia","Murcia","1.0","0.0"
"Año 2003","Noviembre","Andalucía","Cádiz","2.0","0.0"
"Año 2003","Noviembre","Andalucía","Córdoba","1.0","0.0"
"Año 2003","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2003","Noviembre","Illes Balears","Illes Balears","1.0","0.0"
"Año 2003","Noviembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Noviembre","Castilla y León","León","1.0","0.0"
"Año 2003","Noviembre","Castilla y León","Valladolid","1.0","0.0"
"Año 2003","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2003","Diciembre","Canarias","Las Palmas","1.0","0.0"
"Año 2003","Diciembre","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2004","Enero","Extremadura","Badajoz","1.0","0.0"
"Año 2004","Febrero","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Febrero","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Febrero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2004","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Febrero","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Marzo","Andalucía","Almería","1.0","0.0"
"Año 2004","Marzo","Andalucía","Granada","2.0","0.0"
"Año 2004","Marzo","Aragón","Zaragoza","1.0","0.0"
"Año 2004","Marzo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2004","Marzo","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Abril","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2004","Abril","Castilla-La Mancha","Guadalajara","1.0","0.0"
"Año 2004","Abril","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Abril","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2004","Mayo","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Mayo","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Mayo","Aragón","Zaragoza","1.0","0.0"
"Año 2004","Mayo","Castilla y León","León","1.0","0.0"
"Año 2004","Mayo","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2004","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Mayo","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Junio","Andalucía","Granada","2.0","0.0"
"Año 2004","Junio","Comunitat Valenciana","Valencia/València","3.0","0.0"
"Año 2004","Junio","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2004","Julio","Andalucía","Almería","1.0","0.0"
"Año 2004","Julio","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Julio","Canarias","Las Palmas","1.0","0.0"
"Año 2004","Julio","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Julio","Región de Murcia","Murcia","2.0","0.0"
"Año 2004","Agosto","Andalucía","Cádiz","1.0","0.0"
"Año 2004","Agosto","Cantabria","Cantabria","1.0","0.0"
"Año 2004","Agosto","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2004","Agosto","Cataluña","Barcelona","1.0","0.0"
"Año 2004","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Agosto","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2004","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Septiembre","Cantabria","Cantabria","1.0","0.0"
"Año 2004","Septiembre","Castilla y León","León","1.0","0.0"
"Año 2004","Septiembre","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Septiembre","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Septiembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Octubre","Andalucía","Córdoba","1.0","0.0"
"Año 2004","Octubre","Andalucía","Huelva","1.0","0.0"
"Año 2004","Octubre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Octubre","Cataluña","Tarragona","1.0","0.0"
"Año 2004","Octubre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Octubre","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Octubre","La Rioja","La Rioja","1.0","0.0"
"Año 2004","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2004","Noviembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2004","Noviembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2004","Noviembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2004","Diciembre","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2004","Diciembre","Cataluña","Barcelona","2.0","0.0"
"Año 2004","Diciembre","Extremadura","Cáceres","1.0","0.0"
"Año 2004","Diciembre","Galicia","A Coruña","1.0","0.0"
"Año 2004","Diciembre","Galicia","Ourense","1.0","0.0"
"Año 2004","Diciembre","Región de Murcia","Murcia","1.0","0.0"
"Año 2004","Diciembre","País Vasco","Bizkaia","1.0","0.0"
"Año 2005","Enero","Andalucía","Málaga","1.0","0.0"
"Año 2005","Enero","Aragón","Huesca","1.0","0.0"
"Año 2005","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Enero","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2005","Enero","Región de Murcia","Murcia","1.0","0.0"
"Año 2005","Enero","País Vasco","Bizkaia","1.0","0.0"
"Año 2005","Febrero","Andalucía","Córdoba","1.0","0.0"
"Año 2005","Febrero","Andalucía","Granada","1.0","0.0"
"Año 2005","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Febrero","Región de Murcia","Murcia","1.0","0.0"
"Año 2005","Febrero","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2005","Marzo","Andalucía","Almería","1.0","0.0"
"Año 2005","Marzo","Illes Balears","Illes Balears","1.0","0.0"
"Año 2005","Marzo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2005","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2005","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Abril","Castilla y León","Burgos","1.0","0.0"
"Año 2005","Abril","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Abril","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Mayo","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Mayo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2005","Mayo","Castilla y León","León","1.0","0.0"
"Año 2005","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Junio","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2005","Junio","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2005","Junio","Cataluña","Barcelona","1.0","0.0"
"Año 2005","Junio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2005","Junio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2005","Junio","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2005","Julio","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Julio","Cataluña","Girona","1.0","0.0"
"Año 2005","Julio","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2005","Agosto","Principado de Asturias","Asturias","1.0","0.0"
"Año 2005","Agosto","Illes Balears","Illes Balears","2.0","0.0"
"Año 2005","Agosto","Castilla y León","León","1.0","0.0"
"Año 2005","Agosto","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2005","Septiembre","Andalucía","Almería","1.0","0.0"
"Año 2005","Septiembre","Andalucía","Sevilla","1.0","0.0"
"Año 2005","Septiembre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Septiembre","Castilla y León","Ávila","1.0","0.0"
"Año 2005","Octubre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Octubre","Cataluña","Lleida","1.0","0.0"
"Año 2005","Octubre","Cataluña","Tarragona","1.0","0.0"
"Año 2005","Octubre","País Vasco","Bizkaia","2.0","0.0"
"Año 2005","Noviembre","Aragón","Zaragoza","1.0","0.0"
"Año 2005","Noviembre","Canarias","Las Palmas","1.0","0.0"
"Año 2005","Noviembre","Cataluña","Girona","1.0","0.0"
"Año 2005","Noviembre","Cataluña","Tarragona","1.0","0.0"
"Año 2005","Noviembre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2005","Noviembre","Galicia","Pontevedra","1.0","0.0"
"Año 2005","Diciembre","Andalucía","Málaga","1.0","0.0"
"Año 2005","Diciembre","Andalucía","Sevilla","1.0","0.0"
"Año 2005","Diciembre","Melilla","Melilla","1.0","0.0"
"Año 2006","Enero","Andalucía","Cádiz","1.0","0.0"
"Año 2006","Enero","Andalucía","Granada","1.0","0.0"
"Año 2006","Enero","Andalucía","Málaga","2.0","0.0"
"Año 2006","Enero","Aragón","Zaragoza","1.0","0.0"
"Año 2006","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2006","Enero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2006","Enero","Región de Murcia","Murcia","1.0","0.0"
"Año 2006","Enero","País Vasco","Gipuzkoa","1.0","0.0"
"Año 2006","Febrero","Andalucía","Sevilla","1.0","0.0"
"Año 2006","Febrero","Cataluña","Barcelona","1.0","0.0"
"Año 2006","Febrero","Cataluña","Lleida","1.0","0.0"
"Año 2006","Febrero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2006","Marzo","Principado de Asturias","Asturias","1.0","0.0"
"Año 2006","Marzo","Castilla y León","Valladolid","1.0","0.0"
"Año 2006","Marzo","Castilla-La Mancha","Cuenca","1.0","0.0"
"Año 2006","Marzo","Cataluña","Barcelona","1.0","0.0"
"Año 2006","Marzo","Cataluña","Lleida","1.0","0.0"
"Año 2006","Marzo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2006","Marzo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2006","Marzo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2006","Marzo","Región de Murcia","Murcia","1.0","0.0"
"Año 2006","Abril","Andalucía","Almería","1.0","0.0"
"Año 2006","Abril","Andalucía","Málaga","1.0","0.0"
"Año 2006","Abril","Canarias","Las Palmas","1.0","0.0"
"Año 2006","Abril","Castilla y León","Burgos","1.0","0.0"
"Año 2006","Abril","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2006","Mayo","Canarias","Las Palmas","1.0","0.0"
"Año 2006","Mayo","Cataluña","Barcelona","1.0","0.0"
"Año 2006","Mayo","Extremadura","Cáceres","1.0","0.0"
"Año 2006","Mayo","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2006","Mayo","País Vasco","Bizkaia","1.0","0.0"
"Año 2006","Junio","Andalucía","Córdoba","1.0","0.0"
"Año 2006","Junio","Región de Murcia","Murcia","1.0","0.0"
"Año 2006","Julio","Andalucía","Almería","1.0","0.0"
"Año 2006","Julio","Principado de Asturias","Asturias","1.0","0.0"
"Año 2006","Julio","Illes Balears","Illes Balears","1.0","0.0"
"Año 2006","Julio","Castilla y León","Ávila","1.0","0.0"
"Año 2006","Julio","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2006","Julio","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2006","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2006","Julio","País Vasco","Bizkaia","1.0","0.0"
"Año 2006","Agosto","Andalucía","Granada","1.0","0.0"
"Año 2006","Agosto","Andalucía","Jaén","1.0","0.0"
"Año 2006","Agosto","Andalucía","Sevilla","1.0","0.0"
"Año 2006","Agosto","Canarias","Las Palmas","1.0","0.0"
"Año 2006","Agosto","Castilla-La Mancha","Ciudad Real","2.0","0.0"
"Año 2006","Agosto","Cataluña","Barcelona","2.0","0.0"
"Año 2006","Agosto","Cataluña","Girona","1.0","0.0"
"Año 2006","Septiembre","Andalucía","Almería","1.0","0.0"
"Año 2006","Septiembre","Andalucía","Córdoba","1.0","0.0"
"Año 2006","Septiembre","Andalucía","Granada","2.0","0.0"
"Año 2006","Octubre","Andalucía","Granada","1.0","0.0"
"Año 2006","Octubre","Andalucía","Jaén","1.0","0.0"
"Año 2006","Octubre","Illes Balears","Illes Balears","1.0","0.0"
"Año 2006","Octubre","Cataluña","Girona","1.0","0.0"
"Año 2006","Octubre","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2006","Octubre","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2006","Noviembre","Andalucía","Sevilla","1.0","0.0"
"Año 2006","Noviembre","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2006","Diciembre","Andalucía","Jaén","1.0","0.0"
"Año 2006","Diciembre","Andalucía","Málaga","1.0","0.0"
"Año 2006","Diciembre","Principado de Asturias","Asturias","1.0","0.0"
"Año 2006","Diciembre","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2006","Diciembre","Cataluña","Barcelona","1.0","0.0"
"Año 2006","Diciembre","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2007","Enero","Illes Balears","Illes Balears","1.0","0.0"
"Año 2007","Enero","Castilla y León","Soria","1.0","0.0"
"Año 2007","Enero","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2007","Enero","Cataluña","Lleida","1.0","0.0"
"Año 2007","Enero","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2007","Febrero","Andalucía","Sevilla","1.0","0.0"
"Año 2007","Febrero","Principado de Asturias","Asturias","1.0","0.0"
"Año 2007","Febrero","Cataluña","Barcelona","1.0","0.0"
"Año 2007","Febrero","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2007","Febrero","Galicia","A Coruña","1.0","0.0"
"Año 2007","Febrero","Galicia","Pontevedra","2.0","0.0"
"Año 2007","Febrero","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2007","Marzo","Cataluña","Girona","1.0","0.0"
"Año 2007","Marzo","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2007","Marzo","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2007","Marzo","País Vasco","Bizkaia","1.0","0.0"
"Año 2007","Abril","Cataluña","Tarragona","1.0","0.0"
"Año 2007","Abril","Comunidad de Madrid","Madrid","2.0","0.0"
"Año 2007","Abril","Comunidad Foral de Navarra","Navarra","1.0","0.0"
"Año 2007","Mayo","Andalucía","Almería","1.0","0.0"
"Año 2007","Mayo","Andalucía","Jaén","1.0","0.0"
"Año 2007","Mayo","Andalucía","Sevilla","1.0","0.0"
"Año 2007","Mayo","Canarias","Santa Cruz de Tenerife","1.0","0.0"
"Año 2007","Mayo","Cantabria","Cantabria","1.0","0.0"
"Año 2007","Mayo","Castilla-La Mancha","Ciudad Real","1.0","0.0"
"Año 2007","Mayo","Comunitat Valenciana","Valencia/València","1.0","0.0"
"Año 2007","Junio","Principado de Asturias","Asturias","1.0","0.0"
"Año 2007","Junio","Canarias","Santa Cruz de Tenerife","2.0","0.0"
"Año 2007","Junio","Castilla-La Mancha","Albacete","1.0","0.0"
"Año 2007","Junio","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2007","Junio","Comunitat Valenciana","Alicante/Alacant","2.0","0.0"
"Año 2007","Junio","Galicia","A Coruña","1.0","0.0"
"Año 2007","Junio","Región de Murcia","Murcia","1.0","0.0"
"Año 2007","Junio","País Vasco","Araba/Álava","1.0","0.0"
"Año 2007","Julio","Castilla y León","Segovia","1.0","0.0"
"Año 2007","Julio","Castilla-La Mancha","Toledo","1.0","0.0"
"Año 2007","Julio","Cataluña","Barcelona","2.0","0.0"
"Año 2007","Julio","Comunitat Valenciana","Castellón/Castelló","1.0","0.0"
"Año 2007","Julio","Comunidad de Madrid","Madrid","1.0","0.0"
"Año 2007","Julio","Región de Murcia","Murcia","1.0","0.0"
"Año 2007","Julio","Melilla","Melilla","1.0","0.0"
"Año 2007","Agosto","Andalucía","Huelva","1.0","0.0"
"Año 2007","Agosto","Canarias","Santa Cruz de Tenerife","2.0","0.0"
"Año 2007","Agosto","Cataluña","Tarragona","1.0","0.0"
"Año 2007","Agosto","Comunitat Valenciana","Alicante/Alacant","1.0","0.0"
"Año 2007","Agosto","Comunitat Valenciana","Valencia/València","1.0","0.0"
