Comunidades y ciudades autónomas;Grupo de edad;Periodo;Total
Total Nacional;Todas las edades;2023;36.434
Total Nacional;Todas las edades;2022;33.209
Total Nacional;Todas las edades;2021;30.047
Total Nacional;Todas las edades;2020;29.135
Total Nacional;Todas las edades;2019;31.805
Total Nacional;Todas las edades;2018;31.250
Total Nacional;Todas las edades;2017;28.987
Total Nacional;Todas las edades;2016;28.201
Total Nacional;Todas las edades;2015;27.562
Total Nacional;Todas las edades;2014;26.987
Total Nacional;Todas las edades;2013;27.017
Total Nacional;Todas las edades;2012;29.048
Total Nacional;Todas las edades;2011;32.142
Total Nacional;Menos de 18 años;2023;126
Total Nacional;Menos de 18 años;2022;100
Total Nacional;Menos de 18 años;2021;123
Total Nacional;Menos de 18 años;2020;72
Total Nacional;Menos de 18 años;2019;125
Total Nacional;Menos de 18 años;2018;103
Total Nacional;Menos de 18 años;2017;127
Total Nacional;Menos de 18 años;2016;107
Total Nacional;Menos de 18 años;2015;101
Total Nacional;Menos de 18 años;2014;90
Total Nacional;Menos de 18 años;2013;76
Total Nacional;Menos de 18 años;2012;72
Total Nacional;Menos de 18 años;2011;71
Total Nacional;De 18 a 24 años;2023;3.352
Total Nacional;De 18 a 24 años;2022;3.038
Total Nacional;De 18 a 24 años;2021;2.912
Total Nacional;De 18 a 24 años;2020;2.754
Total Nacional;De 18 a 24 años;2019;3.203
Total Nacional;De 18 a 24 años;2018;3.280
Total Nacional;De 18 a 24 años;2017;2.975
Total Nacional;De 18 a 24 años;2016;2.816
Total Nacional;De 18 a 24 años;2015;2.739
Total Nacional;De 18 a 24 años;2014;2.718
Total Nacional;De 18 a 24 años;2013;2.691
Total Nacional;De 18 a 24 años;2012;3.054
Total Nacional;De 18 a 24 años;2011;3.313
Total Nacional;De 25 a 44 años;2023;21.729
Total Nacional;De 25 a 44 años;2022;20.000
Total Nacional;De 25 a 44 años;2021;18.063
Total Nacional;De 25 a 44 años;2020;17.491
Total Nacional;De 25 a 44 años;2019;19.502
Total Nacional;De 25 a 44 años;2018;18.877
Total Nacional;De 25 a 44 años;2017;17.489
Total Nacional;De 25 a 44 años;2016;17.156
Total Nacional;De 25 a 44 años;2015;16.689
Total Nacional;De 25 a 44 años;2014;16.659
Total Nacional;De 25 a 44 años;2013;16.837
Total Nacional;De 25 a 44 años;2012;18.390
Total Nacional;De 25 a 44 años;2011;20.514
Total Nacional;De 45 a 64 años;2023;10.055
Total Nacional;De 45 a 64 años;2022;9.002
Total Nacional;De 45 a 64 años;2021;8.016
Total Nacional;De 45 a 64 años;2020;7.833
Total Nacional;De 45 a 64 años;2019;8.005
Total Nacional;De 45 a 64 años;2018;8.033
Total Nacional;De 45 a 64 años;2017;7.462
Total Nacional;De 45 a 64 años;2016;7.164
Total Nacional;De 45 a 64 años;2015;7.108
Total Nacional;De 45 a 64 años;2014;6.644
Total Nacional;De 45 a 64 años;2013;6.600
Total Nacional;De 45 a 64 años;2012;6.680
Total Nacional;De 45 a 64 años;2011;7.354
Total Nacional;65 y más años;2023;1.172
Total Nacional;65 y más años;2022;1.069
Total Nacional;65 y más años;2021;933
Total Nacional;65 y más años;2020;985
Total Nacional;65 y más años;2019;970
Total Nacional;65 y más años;2018;957
Total Nacional;65 y más años;2017;934
Total Nacional;65 y más años;2016;958
Total Nacional;65 y más años;2015;925
Total Nacional;65 y más años;2014;876
Total Nacional;65 y más años;2013;813
Total Nacional;65 y más años;2012;852
Total Nacional;65 y más años;2011;890
Andalucía;Todas las edades;2023;8.366
Andalucía;Todas las edades;2022;7.590
Andalucía;Todas las edades;2021;6.691
Andalucía;Todas las edades;2020;6.790
Andalucía;Todas las edades;2019;7.098
Andalucía;Todas las edades;2018;7.038
Andalucía;Todas las edades;2017;6.975
Andalucía;Todas las edades;2016;6.912
Andalucía;Todas las edades;2015;6.984
Andalucía;Todas las edades;2014;6.983
Andalucía;Todas las edades;2013;6.761
Andalucía;Todas las edades;2012;7.111
Andalucía;Todas las edades;2011;7.724
Andalucía;Menos de 18 años;2023;41
Andalucía;Menos de 18 años;2022;22
Andalucía;Menos de 18 años;2021;24
Andalucía;Menos de 18 años;2020;16
Andalucía;Menos de 18 años;2019;35
Andalucía;Menos de 18 años;2018;20
Andalucía;Menos de 18 años;2017;30
Andalucía;Menos de 18 años;2016;20
Andalucía;Menos de 18 años;2015;18
Andalucía;Menos de 18 años;2014;15
Andalucía;Menos de 18 años;2013;13
Andalucía;Menos de 18 años;2012;10
Andalucía;Menos de 18 años;2011;13
Andalucía;De 18 a 24 años;2023;730
Andalucía;De 18 a 24 años;2022;642
Andalucía;De 18 a 24 años;2021;625
Andalucía;De 18 a 24 años;2020;606
Andalucía;De 18 a 24 años;2019;664
Andalucía;De 18 a 24 años;2018;705
Andalucía;De 18 a 24 años;2017;646
Andalucía;De 18 a 24 años;2016;670
Andalucía;De 18 a 24 años;2015;718
Andalucía;De 18 a 24 años;2014;667
Andalucía;De 18 a 24 años;2013;700
Andalucía;De 18 a 24 años;2012;805
Andalucía;De 18 a 24 años;2011;870
Andalucía;De 25 a 44 años;2023;5.002
Andalucía;De 25 a 44 años;2022;4.587
Andalucía;De 25 a 44 años;2021;4.037
Andalucía;De 25 a 44 años;2020;4.093
Andalucía;De 25 a 44 años;2019;4.329
Andalucía;De 25 a 44 años;2018;4.168
Andalucía;De 25 a 44 años;2017;4.174
Andalucía;De 25 a 44 años;2016;4.178
Andalucía;De 25 a 44 años;2015;4.203
Andalucía;De 25 a 44 años;2014;4.254
Andalucía;De 25 a 44 años;2013;4.113
Andalucía;De 25 a 44 años;2012;4.423
Andalucía;De 25 a 44 años;2011;4.711
Andalucía;De 45 a 64 años;2023;2.302
Andalucía;De 45 a 64 años;2022;2.075
Andalucía;De 45 a 64 años;2021;1.790
Andalucía;De 45 a 64 años;2020;1.833
Andalucía;De 45 a 64 años;2019;1.837
Andalucía;De 45 a 64 años;2018;1.911
Andalucía;De 45 a 64 años;2017;1.874
Andalucía;De 45 a 64 años;2016;1.795
Andalucía;De 45 a 64 años;2015;1.790
Andalucía;De 45 a 64 años;2014;1.804
Andalucía;De 45 a 64 años;2013;1.739
Andalucía;De 45 a 64 años;2012;1.652
Andalucía;De 45 a 64 años;2011;1.903
Andalucía;65 y más años;2023;291
Andalucía;65 y más años;2022;264
Andalucía;65 y más años;2021;215
Andalucía;65 y más años;2020;242
Andalucía;65 y más años;2019;233
Andalucía;65 y más años;2018;234
Andalucía;65 y más años;2017;251
Andalucía;65 y más años;2016;249
Andalucía;65 y más años;2015;255
Andalucía;65 y más años;2014;243
Andalucía;65 y más años;2013;196
Andalucía;65 y más años;2012;221
Andalucía;65 y más años;2011;227
Aragón;Todas las edades;2023;1.081
Aragón;Todas las edades;2022;929
Aragón;Todas las edades;2021;811
Aragón;Todas las edades;2020;717
Aragón;Todas las edades;2019;872
Aragón;Todas las edades;2018;847
Aragón;Todas las edades;2017;820
Aragón;Todas las edades;2016;874
Aragón;Todas las edades;2015;711
Aragón;Todas las edades;2014;770
Aragón;Todas las edades;2013;712
Aragón;Todas las edades;2012;726
Aragón;Todas las edades;2011;847
Aragón;Menos de 18 años;2023;12
Aragón;Menos de 18 años;2022;5
Aragón;Menos de 18 años;2021;7
Aragón;Menos de 18 años;2020;4
Aragón;Menos de 18 años;2019;8
Aragón;Menos de 18 años;2018;4
Aragón;Menos de 18 años;2017;7
Aragón;Menos de 18 años;2016;3
Aragón;Menos de 18 años;2015;1
Aragón;Menos de 18 años;2014;3
Aragón;Menos de 18 años;2013;4
Aragón;Menos de 18 años;2012;2
Aragón;Menos de 18 años;2011;3
Aragón;De 18 a 24 años;2023;90
Aragón;De 18 a 24 años;2022;86
Aragón;De 18 a 24 años;2021;71
Aragón;De 18 a 24 años;2020;72
Aragón;De 18 a 24 años;2019;82
Aragón;De 18 a 24 años;2018;97
Aragón;De 18 a 24 años;2017;89
Aragón;De 18 a 24 años;2016;85
Aragón;De 18 a 24 años;2015;62
Aragón;De 18 a 24 años;2014;83
Aragón;De 18 a 24 años;2013;55
Aragón;De 18 a 24 años;2012;70
Aragón;De 18 a 24 años;2011;69
Aragón;De 25 a 44 años;2023;645
Aragón;De 25 a 44 años;2022;551
Aragón;De 25 a 44 años;2021;464
Aragón;De 25 a 44 años;2020;423
Aragón;De 25 a 44 años;2019;533
Aragón;De 25 a 44 años;2018;516
Aragón;De 25 a 44 años;2017;507
Aragón;De 25 a 44 años;2016;551
Aragón;De 25 a 44 años;2015;440
Aragón;De 25 a 44 años;2014;503
Aragón;De 25 a 44 años;2013;463
Aragón;De 25 a 44 años;2012;464
Aragón;De 25 a 44 años;2011;577
Aragón;De 45 a 64 años;2023;301
Aragón;De 45 a 64 años;2022;267
Aragón;De 45 a 64 años;2021;237
Aragón;De 45 a 64 años;2020;193
Aragón;De 45 a 64 años;2019;230
Aragón;De 45 a 64 años;2018;206
Aragón;De 45 a 64 años;2017;194
Aragón;De 45 a 64 años;2016;213
Aragón;De 45 a 64 años;2015;190
Aragón;De 45 a 64 años;2014;159
Aragón;De 45 a 64 años;2013;170
Aragón;De 45 a 64 años;2012;168
Aragón;De 45 a 64 años;2011;177
Aragón;65 y más años;2023;33
Aragón;65 y más años;2022;20
Aragón;65 y más años;2021;32
Aragón;65 y más años;2020;25
Aragón;65 y más años;2019;19
Aragón;65 y más años;2018;24
Aragón;65 y más años;2017;23
Aragón;65 y más años;2016;22
Aragón;65 y más años;2015;18
Aragón;65 y más años;2014;22
Aragón;65 y más años;2013;20
Aragón;65 y más años;2012;22
Aragón;65 y más años;2011;21
Asturias, Principado de;Todas las edades;2023;759
Asturias, Principado de;Todas las edades;2022;723
Asturias, Principado de;Todas las edades;2021;534
Asturias, Principado de;Todas las edades;2020;623
Asturias, Principado de;Todas las edades;2019;640
Asturias, Principado de;Todas las edades;2018;607
Asturias, Principado de;Todas las edades;2017;610
Asturias, Principado de;Todas las edades;2016;568
Asturias, Principado de;Todas las edades;2015;487
Asturias, Principado de;Todas las edades;2014;467
Asturias, Principado de;Todas las edades;2013;449
Asturias, Principado de;Todas las edades;2012;442
Asturias, Principado de;Todas las edades;2011;598
Asturias, Principado de;Menos de 18 años;2023;2
Asturias, Principado de;Menos de 18 años;2022;2
Asturias, Principado de;Menos de 18 años;2021;0
Asturias, Principado de;Menos de 18 años;2020;2
Asturias, Principado de;Menos de 18 años;2019;5
Asturias, Principado de;Menos de 18 años;2018;4
Asturias, Principado de;Menos de 18 años;2017;3
Asturias, Principado de;Menos de 18 años;2016;5
Asturias, Principado de;Menos de 18 años;2015;2
Asturias, Principado de;Menos de 18 años;2014;2
Asturias, Principado de;Menos de 18 años;2013;2
Asturias, Principado de;Menos de 18 años;2012;2
Asturias, Principado de;Menos de 18 años;2011;2
Asturias, Principado de;De 18 a 24 años;2023;70
Asturias, Principado de;De 18 a 24 años;2022;50
Asturias, Principado de;De 18 a 24 años;2021;38
Asturias, Principado de;De 18 a 24 años;2020;47
Asturias, Principado de;De 18 a 24 años;2019;46
Asturias, Principado de;De 18 a 24 años;2018;57
Asturias, Principado de;De 18 a 24 años;2017;60
Asturias, Principado de;De 18 a 24 años;2016;39
Asturias, Principado de;De 18 a 24 años;2015;37
Asturias, Principado de;De 18 a 24 años;2014;33
Asturias, Principado de;De 18 a 24 años;2013;29
Asturias, Principado de;De 18 a 24 años;2012;32
Asturias, Principado de;De 18 a 24 años;2011;57
Asturias, Principado de;De 25 a 44 años;2023;406
Asturias, Principado de;De 25 a 44 años;2022;405
Asturias, Principado de;De 25 a 44 años;2021;314
Asturias, Principado de;De 25 a 44 años;2020;352
Asturias, Principado de;De 25 a 44 años;2019;376
Asturias, Principado de;De 25 a 44 años;2018;342
Asturias, Principado de;De 25 a 44 años;2017;326
Asturias, Principado de;De 25 a 44 años;2016;320
Asturias, Principado de;De 25 a 44 años;2015;265
Asturias, Principado de;De 25 a 44 años;2014;251
Asturias, Principado de;De 25 a 44 años;2013;274
Asturias, Principado de;De 25 a 44 años;2012;274
Asturias, Principado de;De 25 a 44 años;2011;348
Asturias, Principado de;De 45 a 64 años;2023;246
Asturias, Principado de;De 45 a 64 años;2022;230
Asturias, Principado de;De 45 a 64 años;2021;157
Asturias, Principado de;De 45 a 64 años;2020;188
Asturias, Principado de;De 45 a 64 años;2019;183
Asturias, Principado de;De 45 a 64 años;2018;177
Asturias, Principado de;De 45 a 64 años;2017;189
Asturias, Principado de;De 45 a 64 años;2016;171
Asturias, Principado de;De 45 a 64 años;2015;161
Asturias, Principado de;De 45 a 64 años;2014;159
Asturias, Principado de;De 45 a 64 años;2013;125
Asturias, Principado de;De 45 a 64 años;2012;121
Asturias, Principado de;De 45 a 64 años;2011;165
Asturias, Principado de;65 y más años;2023;35
Asturias, Principado de;65 y más años;2022;36
Asturias, Principado de;65 y más años;2021;25
Asturias, Principado de;65 y más años;2020;34
Asturias, Principado de;65 y más años;2019;30
Asturias, Principado de;65 y más años;2018;27
Asturias, Principado de;65 y más años;2017;32
Asturias, Principado de;65 y más años;2016;33
Asturias, Principado de;65 y más años;2015;22
Asturias, Principado de;65 y más años;2014;22
Asturias, Principado de;65 y más años;2013;19
Asturias, Principado de;65 y más años;2012;13
Asturias, Principado de;65 y más años;2011;26
Balears, Illes;Todas las edades;2023;1.422
Balears, Illes;Todas las edades;2022;1.263
Balears, Illes;Todas las edades;2021;993
Balears, Illes;Todas las edades;2020;996
Balears, Illes;Todas las edades;2019;1.150
Balears, Illes;Todas las edades;2018;994
Balears, Illes;Todas las edades;2017;869
Balears, Illes;Todas las edades;2016;849
Balears, Illes;Todas las edades;2015;823
Balears, Illes;Todas las edades;2014;762
Balears, Illes;Todas las edades;2013;839
Balears, Illes;Todas las edades;2012;773
Balears, Illes;Todas las edades;2011;872
Balears, Illes;Menos de 18 años;2023;0
Balears, Illes;Menos de 18 años;2022;0
Balears, Illes;Menos de 18 años;2021;0
Balears, Illes;Menos de 18 años;2020;0
Balears, Illes;Menos de 18 años;2019;0
Balears, Illes;Menos de 18 años;2018;0
Balears, Illes;Menos de 18 años;2017;1
Balears, Illes;Menos de 18 años;2016;1
Balears, Illes;Menos de 18 años;2015;2
Balears, Illes;Menos de 18 años;2014;0
Balears, Illes;Menos de 18 años;2013;0
Balears, Illes;Menos de 18 años;2012;0
Balears, Illes;Menos de 18 años;2011;1
Balears, Illes;De 18 a 24 años;2023;142
Balears, Illes;De 18 a 24 años;2022;138
Balears, Illes;De 18 a 24 años;2021;105
Balears, Illes;De 18 a 24 años;2020;105
Balears, Illes;De 18 a 24 años;2019;123
Balears, Illes;De 18 a 24 años;2018;107
Balears, Illes;De 18 a 24 años;2017;77
Balears, Illes;De 18 a 24 años;2016;83
Balears, Illes;De 18 a 24 años;2015;91
Balears, Illes;De 18 a 24 años;2014;67
Balears, Illes;De 18 a 24 años;2013;88
Balears, Illes;De 18 a 24 años;2012;91
Balears, Illes;De 18 a 24 años;2011;82
Balears, Illes;De 25 a 44 años;2023;899
Balears, Illes;De 25 a 44 años;2022;754
Balears, Illes;De 25 a 44 años;2021;606
Balears, Illes;De 25 a 44 años;2020;620
Balears, Illes;De 25 a 44 años;2019;722
Balears, Illes;De 25 a 44 años;2018;633
Balears, Illes;De 25 a 44 años;2017;574
Balears, Illes;De 25 a 44 años;2016;556
Balears, Illes;De 25 a 44 años;2015;513
Balears, Illes;De 25 a 44 años;2014;509
Balears, Illes;De 25 a 44 años;2013;541
Balears, Illes;De 25 a 44 años;2012;476
Balears, Illes;De 25 a 44 años;2011;599
Balears, Illes;De 45 a 64 años;2023;347
Balears, Illes;De 45 a 64 años;2022;336
Balears, Illes;De 45 a 64 años;2021;252
Balears, Illes;De 45 a 64 años;2020;247
Balears, Illes;De 45 a 64 años;2019;285
Balears, Illes;De 45 a 64 años;2018;227
Balears, Illes;De 45 a 64 años;2017;191
Balears, Illes;De 45 a 64 años;2016;190
Balears, Illes;De 45 a 64 años;2015;200
Balears, Illes;De 45 a 64 años;2014;168
Balears, Illes;De 45 a 64 años;2013;191
Balears, Illes;De 45 a 64 años;2012;182
Balears, Illes;De 45 a 64 años;2011;171
Balears, Illes;65 y más años;2023;34
Balears, Illes;65 y más años;2022;35
Balears, Illes;65 y más años;2021;30
Balears, Illes;65 y más años;2020;24
Balears, Illes;65 y más años;2019;20
Balears, Illes;65 y más años;2018;27
Balears, Illes;65 y más años;2017;26
Balears, Illes;65 y más años;2016;19
Balears, Illes;65 y más años;2015;17
Balears, Illes;65 y más años;2014;18
Balears, Illes;65 y más años;2013;19
Balears, Illes;65 y más años;2012;24
Balears, Illes;65 y más años;2011;19
Canarias;Todas las edades;2023;2.509
Canarias;Todas las edades;2022;2.005
Canarias;Todas las edades;2021;1.822
Canarias;Todas las edades;2020;1.734
Canarias;Todas las edades;2019;1.699
Canarias;Todas las edades;2018;1.671
Canarias;Todas las edades;2017;1.335
Canarias;Todas las edades;2016;1.297
Canarias;Todas las edades;2015;1.258
Canarias;Todas las edades;2014;1.163
Canarias;Todas las edades;2013;1.333
Canarias;Todas las edades;2012;1.426
Canarias;Todas las edades;2011;1.483
Canarias;Menos de 18 años;2023;0
Canarias;Menos de 18 años;2022;0
Canarias;Menos de 18 años;2021;4
Canarias;Menos de 18 años;2020;2
Canarias;Menos de 18 años;2019;4
Canarias;Menos de 18 años;2018;1
Canarias;Menos de 18 años;2017;2
Canarias;Menos de 18 años;2016;2
Canarias;Menos de 18 años;2015;1
Canarias;Menos de 18 años;2014;2
Canarias;Menos de 18 años;2013;1
Canarias;Menos de 18 años;2012;0
Canarias;Menos de 18 años;2011;1
Canarias;De 18 a 24 años;2023;193
Canarias;De 18 a 24 años;2022;178
Canarias;De 18 a 24 años;2021;168
Canarias;De 18 a 24 años;2020;142
Canarias;De 18 a 24 años;2019;173
Canarias;De 18 a 24 años;2018;182
Canarias;De 18 a 24 años;2017;126
Canarias;De 18 a 24 años;2016;120
Canarias;De 18 a 24 años;2015;118
Canarias;De 18 a 24 años;2014;122
Canarias;De 18 a 24 años;2013;142
Canarias;De 18 a 24 años;2012;174
Canarias;De 18 a 24 años;2011;141
Canarias;De 25 a 44 años;2023;1.509
Canarias;De 25 a 44 años;2022;1.201
Canarias;De 25 a 44 años;2021;1.077
Canarias;De 25 a 44 años;2020;991
Canarias;De 25 a 44 años;2019;1.042
Canarias;De 25 a 44 años;2018;1.010
Canarias;De 25 a 44 años;2017;816
Canarias;De 25 a 44 años;2016;816
Canarias;De 25 a 44 años;2015;778
Canarias;De 25 a 44 años;2014;701
Canarias;De 25 a 44 años;2013;825
Canarias;De 25 a 44 años;2012;871
Canarias;De 25 a 44 años;2011;914
Canarias;De 45 a 64 años;2023;715
Canarias;De 45 a 64 años;2022;565
Canarias;De 45 a 64 años;2021;520
Canarias;De 45 a 64 años;2020;542
Canarias;De 45 a 64 años;2019;435
Canarias;De 45 a 64 años;2018;431
Canarias;De 45 a 64 años;2017;352
Canarias;De 45 a 64 años;2016;325
Canarias;De 45 a 64 años;2015;330
Canarias;De 45 a 64 años;2014;299
Canarias;De 45 a 64 años;2013;336
Canarias;De 45 a 64 años;2012;343
Canarias;De 45 a 64 años;2011;378
Canarias;65 y más años;2023;92
Canarias;65 y más años;2022;61
Canarias;65 y más años;2021;53
Canarias;65 y más años;2020;57
Canarias;65 y más años;2019;45
Canarias;65 y más años;2018;47
Canarias;65 y más años;2017;39
Canarias;65 y más años;2016;34
Canarias;65 y más años;2015;31
Canarias;65 y más años;2014;39
Canarias;65 y más años;2013;29
Canarias;65 y más años;2012;38
Canarias;65 y más años;2011;49
Cantabria;Todas las edades;2023;727
Cantabria;Todas las edades;2022;600
Cantabria;Todas las edades;2021;485
Cantabria;Todas las edades;2020;406
Cantabria;Todas las edades;2019;460
Cantabria;Todas las edades;2018;495
Cantabria;Todas las edades;2017;452
Cantabria;Todas las edades;2016;471
Cantabria;Todas las edades;2015;382
Cantabria;Todas las edades;2014;375
Cantabria;Todas las edades;2013;350
Cantabria;Todas las edades;2012;327
Cantabria;Todas las edades;2011;402
Cantabria;Menos de 18 años;2023;1
Cantabria;Menos de 18 años;2022;1
Cantabria;Menos de 18 años;2021;0
Cantabria;Menos de 18 años;2020;0
Cantabria;Menos de 18 años;2019;0
Cantabria;Menos de 18 años;2018;2
Cantabria;Menos de 18 años;2017;2
Cantabria;Menos de 18 años;2016;1
Cantabria;Menos de 18 años;2015;3
Cantabria;Menos de 18 años;2014;1
Cantabria;Menos de 18 años;2013;0
Cantabria;Menos de 18 años;2012;1
Cantabria;Menos de 18 años;2011;0
Cantabria;De 18 a 24 años;2023;67
Cantabria;De 18 a 24 años;2022;69
Cantabria;De 18 a 24 años;2021;47
Cantabria;De 18 a 24 años;2020;46
Cantabria;De 18 a 24 años;2019;52
Cantabria;De 18 a 24 años;2018;39
Cantabria;De 18 a 24 años;2017;45
Cantabria;De 18 a 24 años;2016;38
Cantabria;De 18 a 24 años;2015;30
Cantabria;De 18 a 24 años;2014;43
Cantabria;De 18 a 24 años;2013;36
Cantabria;De 18 a 24 años;2012;38
Cantabria;De 18 a 24 años;2011;33
Cantabria;De 25 a 44 años;2023;417
Cantabria;De 25 a 44 años;2022;339
Cantabria;De 25 a 44 años;2021;263
Cantabria;De 25 a 44 años;2020;234
Cantabria;De 25 a 44 años;2019;271
Cantabria;De 25 a 44 años;2018;299
Cantabria;De 25 a 44 años;2017;267
Cantabria;De 25 a 44 años;2016;293
Cantabria;De 25 a 44 años;2015;218
Cantabria;De 25 a 44 años;2014;227
Cantabria;De 25 a 44 años;2013;197
Cantabria;De 25 a 44 años;2012;191
Cantabria;De 25 a 44 años;2011;257
Cantabria;De 45 a 64 años;2023;219
Cantabria;De 45 a 64 años;2022;164
Cantabria;De 45 a 64 años;2021;157
Cantabria;De 45 a 64 años;2020;111
Cantabria;De 45 a 64 años;2019;118
Cantabria;De 45 a 64 años;2018;140
Cantabria;De 45 a 64 años;2017;129
